4.8,Полицейская академия 3: Переподготовка (1986)
4.8,Полицейская история (1985)
4.8,Полицейская история 2 (1988)
4.8,Полицейский из Беверли-Хиллз (1984)
4.8,Полицейский из Беверли-Хиллз 2 (1987)
4.8,Полицейский из Беверли-Хиллз 3 (1994)
4.8,Поменяться местами (1983)
4.8,Помни меня (2010)
4.8,Последний киногерой (1993)
4.8,Последний отпуск (2006)
4.8,Послезавтра (2004)
4.8,Поцелуй дракона (2001)
4.8,Поцелуй на удачу (2006)
4.8,Правдивая ложь (1994)
4.8,Правила съема: Метод Хитча (2005)
4.8,Превосходство Борна (2004)
4.8,Престиж (2006)
4.8,Преступник (2008)
4.8,Привидение (1990)
4.8,Приговор (2010)
4.8,Призрак и Тьма (1996)
4.8,Призрак оперы (2004)
4.8,Принц Персии: Пески времени (2010)
4.8,Притворись моей женой (2011)
4.8,Пробуждение (1990)
4.8,Проклятый путь (2002)
4.8,Пророк (2007)
4.8,Профессионал (2011)
4.8,Путь Карлито (1993)
4.8,Пьяный мастер (1978)
4.8,Пьяный мастер 2 (1994)
4.8,РЭД (2010)
4.8,Радиоволна (2000)
4.8,Разборки в стиле Кунг-фу (2004)
4.8,Разрисованная вуаль (2006)
4.8,Ральф (2012)
4.8,Рапунцель: Счастлива навсегда (2012)
4.8,Расплата (2016)
4.8,Рататуй (2007)
4.8,Рекрут (2003)
4.8,Рио (2011)
4.8,Робокоп (1987)
4.8,Рождественская история (2009)
4.8,Рок-звезда (2001)
4.8,Рок-н-рольщик (2008)
4.8,Рокки (1976)
4.8,Рокки 2 (1979)
4.8,Рокки 5 (1990)
4.8,Рыцарь дня (2010)
4.8,Рэй (2004)
4.8,Самый пьяный округ в мире (2012)
4.8,Святые из Бундока (1999)
4.8,Семейка Аддамс (1991)
4.8,Семейка Крудс (2013)
4.8,Семь (1995)
4.8,Семьянин (2000)
4.8,Сердцеедки (2001)
4.8,Серфер души / Жизнь на волне (2011)
4.8,Скала (1996)
4.8,Скалолаз (1993)
4.8,Скорость (1994)
4.8,Славные парни (1990)
4.8,Смертельная гонка (2008)
4.8,Смертельное оружие (1987)
4.8,Смертельное оружие 3 (1992)
4.8,Смокинг (2002)
4.8,Собачья жизнь (2017)
4.8,Совершенный мир (1993)
4.8,Сокровище нации (2004)
4.8,Сокровище нации 2: Книга Тайн (2007)
4.8,Солдат (1998)
4.8,Солдатики (1998)
4.8,Сорок два / 42 (2013)
4.8,Соседка (2004)
4.8,Социальная сеть (2010)
4.8,Спасти рядового Райана (1998)
4.8,Спеши любить (2002)
4.8,Спирит: Душа прерий (2002)
4.8,Список Шиндлера (1993)
4.8,Стажёр (2015)
4.8,Стальной гигант (1999)
4.8,Стой! Или моя мама будет стрелять (1992)
4.8,Страшилы (1996)
4.8,Стрелок (2007)
4.8,Судья (2014)
4.8,Судья Дредд (1995)
4.8,Суперсемейка (2004)
4.8,Суррогаты (2009)
4.8,Счастливчик Гилмор (1996)
4.8,Тайна Коко (2017)
4.8,Такси 2 (2000)
4.8,Такси 3 (2003)
4.8,Танго и Кэш (1989)
4.8,Танцующий с волками (1990)
4.8,Твои, мои и наши (2005)
4.8,Телохранитель (1992)
4.8,Телохранитель киллера (2017)
4.8,Темный рыцарь (2008)
4.8,Темный рыцарь: Возрождение легенды (2012)
4.8,Тень (1994)
4.8,Терминал (2004)
4.8,Терминатор 2: Судный день (1991)
4.8,Тернер и Хуч (1989)
4.8,Титаник (1997)
4.8,Тихая гавань (2013)
4.8,Толстяк на ринге (2012)
4.8,Трасса 60 (2002)
4.8,Тревожный вызов (2013)
4.8,Тренер (2015)
4.8,Три дня на побег (2010)
4.8,Тринадцатый этаж (1999)
4.8,Троя (2004)
4.8,Тысяча слов (2012)
4.8,Тэмпл Грандин (2010)
4.8,Тюряга (1989)
4.8,Убойные каникулы (2010)
4.8,Угадай, кто? (2005)
4.8,Угнать за 60 секунд (2000)
4.8,Уйти красиво (2017)
4.8,Укрощение строптивого (1980)
4.8,Улыбка Моны Лизы (2003)
4.8,Ультиматум Борна (2007)
4.8,Умереть молодым (1991)
4.8,Умница Уилл Хантинг (1997)
4.8,Унесённые призраками (2001)
4.8,Успеть до полуночи (1988)
4.8,Учитель на замену (2011)
4.8,Факультет (1998)
4.8,Фердинанд (2017)
4.8,Французский поцелуй (1995)
4.8,Хаос (2005)
4.8,Харлей Дэвидсон и ковбой Мальборо (1991)
4.8,Хатико: Самый верный друг (2009)
4.8,Хищник (1987)
4.8,Хоббит: Нежданное путешествие (2012)
4.8,Хорошие дети не плачут (2012)
4.8,Хороший, плохой, злой (1966)
4.8,Храброе сердце (1995)
4.8,Хроники Риддика (2004)
4.8,Хэнкок (2008)
4.8,Царство небесное (2005)
4.8,Цветок пустыни (2009)
4.8,Целитель Адамс (1998)
4.8,Целуя девушек (1997)
4.8,Чаплин (1992)
4.8,Час пик (1998)
4.8,Час пик 3 (2007)
4.8,Чего хотят женщины (2000)
4.8,Человек дождя (1988)
4.8,Человек из ниоткуда (2010)
4.8,Человек, который изменил всё (2011)
4.8,Человек, который познал бесконечность (2016)
4.8,Черная дыра (2000)
4.8,Черное золото (2012)
4.8,Черный ястреб (2001)
4.8,Что гложет Гилберта Грейпа? (1993)
4.8,Чудо (2017)
4.8,Чужой (1979)
4.8,Чужой 2: Чужие (1986)
4.8,Чужой 3 (1992)
4.8,Чумовая пятница (2003)
4.8,Шанхайские рыцари (2003)
4.8,Шанхайский полдень (2000)
4.8,Шафер напрокат (2015)
4.8,Шерлок Холмс (2009)
4.8,Шерлок Холмс: Игра теней (2011)
4.8,Шестое чувство (1999)
4.8,Шесть дней, семь ночей (1998)
4.8,Широко шагая (2004)
4.8,Школа рока (2003)
4.8,Шоколад (2000)
4.8,Шпионские игры (2001)
4.8,Эволюция (2001)
4.8,Эдвард руки-ножницы (1990)
4.8,Эйс Вентура 2: Когда зовет природа (1995)
4.8,Эйс Вентура: Розыск домашних животных (1993)
4.8,Эквилибриум (2002)
4.8,Эпидемия (1995)
4.8,Эрин Брокович (2000)
4.8,Эта дурацкая любовь (2011)
4.8,Это очень забавная история (2010)
4.8,Это чертово сердце (2018)
4.8,Эффект бабочки (2004)
4.8,Я – Сэм (2001)
4.8,Я – легенда (2007)
4.8,Я, снова я и Ирэн (2000)
4.7,10000 лет до нашей эры (2008)
